TEAM_ID;LEAGUE_ID;SEASON_ID;STANDINGSDATE;CONFERENCE;TEAM;G;W;L;W_PCT
1610612743;0;2019;01/03/2020;West;Denver;60;41;19;0.683
1610612746;0;2019;01/03/2020;West;LA Clippers;60;41;19;0.683
1610612760;0;2019;01/03/2020;West;Oklahoma City;60;37;23;0.617
1610612763;0;2019;01/03/2020;West;Memphis;60;29;31;0.483
1610612740;0;2019;01/03/2020;West;New Orleans;60;26;34;0.433
1610612758;0;2019;01/03/2020;West;Sacramento;60;26;34;0.433
1610612760;0;2019;29/02/2020;West;Oklahoma City;60;37;23;0.617
1610612742;0;2019;29/02/2020;West;Dallas;60;36;24;0.6
1610612763;0;2019;29/02/2020;West;Memphis;60;29;31;0.483
1610612744;0;2019;29/02/2020;West;Golden State;60;13;47;0.217
1610612760;0;2019;28/02/2020;West;Oklahoma City;60;37;23;0.617
1610612742;0;2019;28/02/2020;West;Dallas;60;36;24;0.6
1610612757;0;2019;28/02/2020;West;Portland;60;26;34;0.433
1610612756;0;2019;28/02/2020;West;Phoenix;60;24;36;0.4
1610612757;0;2019;27/02/2020;West;Portland;60;26;34;0.433
1610612749;0;2019;01/03/2020;East;Milwaukee;60;52;8;0.867
1610612761;0;2019;01/03/2020;East;Toronto;60;42;18;0.7
1610612748;0;2019;01/03/2020;East;Miami;60;38;22;0.633
1610612754;0;2019;01/03/2020;East;Indiana;60;36;24;0.6
1610612753;0;2019;01/03/2020;East;Orlando;60;27;33;0.45
1610612766;0;2019;01/03/2020;East;Charlotte;60;21;39;0.35
1610612741;0;2019;01/03/2020;East;Chicago;60;20;40;0.333
1610612752;0;2019;01/03/2020;East;New York;60;18;42;0.3
1610612739;0;2019;01/03/2020;East;Cleveland;60;17;43;0.283
1610612748;0;2019;29/02/2020;East;Miami;60;38;22;0.633
1610612755;0;2019;29/02/2020;East;Philadelphia;60;37;23;0.617
1610612754;0;2019;29/02/2020;East;Indiana;60;36;24;0.6
1610612753;0;2019;29/02/2020;East;Orlando;60;27;33;0.45
1610612741;0;2019;29/02/2020;East;Chicago;60;20;40;0.333
1610612752;0;2019;29/02/2020;East;New York;60;18;42;0.3
1610612739;0;2019;29/02/2020;East;Cleveland;60;17;43;0.283
1610612755;0;2019;28/02/2020;East;Philadelphia;60;37;23;0.617
1610612755;0;2019;27/02/2020;East;Philadelphia;60;37;23;0.617
1610612765;0;2019;27/02/2020;East;Detroit;60;19;41;0.317
1610612737;0;2019;27/02/2020;East;Atlanta;60;17;43;0.283
1610612765;0;2019;26/02/2020;East;Detroit;60;19;41;0.317
1610612737;0;2019;26/02/2020;East;Atlanta;60;17;43;0.283
1610612765;0;2019;25/02/2020;East;Detroit;60;19;41;0.317
